feature,mean_importance
50_ExtraTrees_prediction_Overstrain_Failure,0.0003670028209396034
Torque_diff_Tool_Wear,0.0003848234816505133
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,0.00038648522773539613
34_RandomForest_prediction_No_Failure,0.00039856467813511877
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,0.0004487677147418448
18_LightGBM_prediction_Heat_Dissipation_Failure,0.0004890631620357077
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction_No_Failure,0.000491689215892041
22_LightGBM_prediction_Heat_Dissipation_Failure,0.0005066324664023486
46_ExtraTrees_prediction_Tool_Wear_Failure,0.000533336330889847
Torque_multiply_Rotational_Speed,0.0005493693294295638
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0008238349569650971
43_ExtraTrees_prediction_No_Failure,0.0008523531018017367
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_No_Failure,0.0008651751638467764
32_CatBoost_prediction_Heat_Dissipation_Failure,0.0008877935880502689
Air_Temperature_ratio_Tool_Wear,0.0009882501643233676
57_NeuralNetwork_SelectedFeatures_prediction_No_Failure,0.0010185364028140686
74_Xgboost_GoldenFeatures_prediction_Power_Failure,0.0010455162596715278
Tool_Wear,0.0011069641852039986
33_CatBoost_prediction_Overstrain_Failure,0.0014284602685117414
Ensemble_prediction_Power_Failure,0.0018199763970249236
56_NeuralNetwork_prediction_No_Failure,0.0019513963821405494
Air_Temperature_diff_Tool_Wear,0.002145979563595475
Ensemble_prediction_Overstrain_Failure,0.002504588915535329
Ensemble_prediction_No_Failure,0.002891703714526955
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction_Power_Failure,0.003343033995541177
58_NeuralNetwork_prediction_No_Failure,0.004615733410881717
Ensemble_prediction_Heat_Dissipation_Failure,0.005802731893733146
57_NeuralNetwork_SelectedFeatures_prediction_Overstrain_Failure,0.009857863999388084
